"Prediction_Source","Source_File","Source_Row","Pharma_Model","PDB_ID","Num_Feature","Fit","Norm_Fit","zscore","Target_Name_Raw","UniProt_Field_Raw","Class_Raw","Function_Raw","Disease_Raw","Indication_Raw","Mapping_Method","Mapping_Status","Gene_Symbol","UniProt_accession","UniProt_entry_name","UniProt_reviewed","Species","TaxID","Protein_Name_UniProt","Is_Human","Meets_Strict","Meets_Relaxed","Meets_Exploratory","Compound","PubChem_CID","Processing_Date"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","289","2wea_v","2WEA","7","3.626","0.518","1.05801","Penicillopepsin","P00798","NONE","Involved in aspartic-type endopeptidase activity","NONE","NONE","UniProt_field","mapped","","P00798","PEPA1_PENJA","reviewed","Penicillium janthinellum (Penicillium vitale)","5079","Penicillopepsin-1 (EC 3.4.23.20) (Aspartic protease) (Peptidase A)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","290","1kiz_v","1KIZ","5","2.583","0.5166","-0.834591","Trichodiene synthase","P13513","NONE","Involved in trichodiene synthase activity","NONE","NONE","UniProt_field","mapped","TRI5","P13513","TRI5_FUSSP","reviewed","Fusarium sporotrichioides","5514","Trichodiene synthase (EC 4.2.3.6) (Core trichothecene cluster (CTC) protein 5) (Sesquiterpene cyclase TRI5) (TS)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","291","6nse_v","6NSE","5","2.581","0.5161","0.00522879","Nitric oxide synthase, endothelial","P29473","NONE","Inorganic ion transport and metabolism","NONE","NONE","UniProt_field","mapped","NOS3","P29473","NOS3_BOVIN","reviewed","Bos taurus (Bovine)","9913","Nitric oxide synthase 3 (EC 1.14.13.39) (Constitutive NOS) (cNOS) (EC-NOS) (NOS type III) (NOSIII) (Nitric oxide synthase, endothelial) (Endothelial NOS) (eNOS)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","292","1gz4_v","1GZ4","5","2.578","0.5156","-0.809509","NAD-dependent malic enzyme, mitochondrial","MAOM_HUMAN","OXIDOREDUCTASE","NONE","NONE","NONE","UniProt_field","mapped","ME2","P23368","MAOM_HUMAN","reviewed","Homo sapiens (Human)","9606","NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38) (Malic enzyme 2)","TRUE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","293","1xdc_v","1XDC","5","2.573","0.5147","-0.197078","Superoxide dismutase [Mn], mitochondrial","P04179","NONE","Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems.","NONE","NONE","UniProt_field","mapped","SOD2","P04179","SODM_HUMAN","reviewed","Homo sapiens (Human)","9606","Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)","TRUE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","294","1kph_v","1KPH","6","3.087","0.5146","0.828912","Cyclopropane-fatty-acyl-phospholipid synthase 1","Q11195","NONE","Cell wall/membrane/envelope biogenesis","NONE","For the initial treatment of active tuberculosis in adults and children when combined with other antituberculous agents.","UniProt_field","mapped","","Q11195","CFA1_MYCTU","","","","demerged","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","295","1iqp_v","1IQP","5","2.572","0.5144","-0.765904","Replication factor C small subunit","Q8U4J3","NONE","Involved in ATP binding","NONE","NONE","UniProt_field","mapped","rfcS","Q8U4J3","RFCS_PYRFU","reviewed","Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)","186497","Replication factor C small subunit (RFC small subunit) (Clamp loader small subunit) (PfuRFC small subunit) [Cleaved into: Pfu RFC intein]","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","296","1ewk_v","1EWK","5","2.57","0.514","-0.287586","Metabotropic glutamate receptor 1","P23385","NONE","G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling activates a phosphatidylinositol-calcium second messenger system. May participate in the central action of glutamate in the CNS, such as long-term potentiation in the hippocampus and long-term depression in the cerebellum.","NONE","NONE","UniProt_field","mapped","Grm1","P23385","GRM1_RAT","reviewed","Rattus norvegicus (Rat)","10116","Metabotropic glutamate receptor 1 (mGluR1)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","297","1kjp_v","1KJP","4","2.052","0.5129","-1.80531","Thermolysin","P00800","NONE","Extracellular zinc metalloprotease.","NONE","NONE","UniProt_field","mapped","npr","P00800","THER_BACTH","reviewed","Bacillus thermoproteolyticus","1427","Thermolysin (EC 3.4.24.27) (Thermostable neutral proteinase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","298","1jfh_v","1JFH","7","3.587","0.5125","3.48083","Pancreatic alpha-amylase","P00690","NONE","Carbohydrate transport and metabolism","NONE","NONE","UniProt_field","mapped","AMY2","P00690","AMYP_PIG","reviewed","Sus scrofa (Pig)","9823","Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","299","1k7t_v","1K7T","5","2.56","0.512","-0.403093","Agglutinin isolectin 3","P10969","NONE","Involved in chitin binding","NONE","NONE","UniProt_field","mapped","","P10969","AGI3_WHEAT","reviewed","Triticum aestivum (Wheat)","4565","Agglutinin isolectin 3 (WGA3)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","1","1k7h_v","1K7H","3","2.93","0.9766","1.51387","NONE","NONE","NONE","NONE","NONE","NONE","PDB_cross_reference","mapped","sap","Q9BHT8","Q9BHT8_PANBO","unreviewed","Pandalus borealis (Northern red shrimp)","6703","Alkaline phosphatase (EC 3.1.3.1)","FALSE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","2","1jd0_v","1JD0","3","2.929","0.9763","1.37322","Carbonic anhydrase 12","CAH12_HUMAN","LYASE","Reversible hydration of carbon dioxide.","NONE","NONE","UniProt_field","mapped","CA12","O43570","CAH12_HUMAN","reviewed","Homo sapiens (Human)","9606","Carbonic anhydrase 12 (EC 4.2.1.1) (Carbonate dehydratase XII) (Carbonic anhydrase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3)","TRUE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","3","1sr0_v","1SR0","3","2.922","0.9741","1.48002","Chitinase-3-like protein 1","Q6TMG6","NONE","Involved in chitinase activity","NONE","NONE","UniProt_field","mapped","CHI3L1","Q6TMG6","CH3L1_SHEEP","reviewed","Ovis aries (Sheep)","9940","Chitinase-3-like protein 1 (Secretory glycoprotein of 40 kDa) (Signal-processing protein)","FALSE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","4","1req_v","1REQ","3","2.892","0.9641","1.30828","Methylmalonyl-CoA mutase large subunit","P11653","NONE","Catalyzes the isomerization of succinyl-CoA to methylmalonyl-CoA during synthesis of propionate from tricarboxylic acid-cycle intermediates.","NONE","NONE","UniProt_field","mapped","mutB","P11653","MUTB_PROFR","reviewed","Propionibacterium freudenreichii subsp. shermanii","1752","Methylmalonyl-CoA mutase large subunit (EC 5.4.99.2) (MCM-alpha)","FALSE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","5","1eq9_v","1EQ9","3","2.882","0.9606","1.20544","Chymotrypsin-1","Q7SIG2","NONE","Involved in catalytic activity","NONE","NONE","UniProt_field","mapped","","Q7SIG2","CTR1_SOLIN","reviewed","Solenopsis invicta (Red imported fire ant) (Solenopsis wagneri)","13686","Chymotrypsin-1 (EC 3.4.21.1) (Chymotrypsin I) (Soli C1)","FALSE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","6","1c5r_v","1C5R","4","3.816","0.9539","4.47073","Cationic trypsin","P00760","NONE","Involved in protease activity","NONE","For the symptomatic relief of patients with interstitial cystitis.","UniProt_field","mapped","PRSS1","P00760","TRY1_BOVIN","reviewed","Bos taurus (Bovine)","9913","Serine protease 1 (EC 3.4.21.4) (Anionic trypsin I) (Anionic trypsin-I) (Beta-trypsin) (Cationic trypsin) (Pretrypsinogen I) (Trypsin I) (Trypsin-I) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2]","FALSE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","7","1h3j_v","1H3J","3","2.845","0.9483","1.09349","Peroxidase","P28314","NONE","Involved in peroxidase activity","NONE","NONE","UniProt_field","mapped","CIP1","P28314","PER_COPCI","reviewed","Coprinopsis cinerea (Inky cap fungus) (Hormographiella aspergillata)","5346","Peroxidase (EC 1.11.1.7)","FALSE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","8","1w8m_v","1W8M","3","2.839","0.9463","1.01718","Peptidyl-prolyl cis-trans isomerase A","P62937","NONE","Posttranslational modification, protein turnover, chaperones","NONE","For treatment of transplant rejection, rheumatoid arthritis, severe psoriasis","UniProt_field","mapped","PPIA","P62937","PPIA_HUMAN","reviewed","Homo sapiens (Human)","9606","Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]","TRUE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","9","1f7t_v","1F7T","3","2.818","0.9395","1.03894","Holo-[acyl-carrier-protein] synthase","P96618","NONE","Lipid transport and metabolism","NONE","NONE","UniProt_field","mapped","acpS","P96618","ACPS_BACSU","reviewed","Bacillus subtilis (strain 168)","224308","Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)","FALSE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","10","1dx6_v","1DX6","3","2.805","0.935","0.944381","Acetylcholinesterase","ACES_TORCA","SERINE HYDROLASE","Terminates signal transduction at the neuromuscular junction by rapid hydrolysis of the acetylcholine released into the synaptic cleft. May be involved in cell-cell interactions.","NONE","NONE","UniProt_field","mapped","","P04058","ACES_TETCF","reviewed","Tetronarce californica (Pacific electric ray) (Torpedo californica)","","Acetylcholinesterase (AChE) (EC 3.1.1.7)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","11","1tg8_v","1TG8","3","2.779","0.9264","0.895475","Genome polyprotein","P27914","NONE","Envelope protein E binding to host cell surface receptor is followed by virus internalization through clathrin-mediated endocytosis. Envelope protein E is subsequently involved in membrane fusion between virion and host late endosomes. Synthesized as a homodimer with prM which acts as a chaperone for envelope protein E. After cleavage of prM, envelope protein E dissociate from small envelope protein M and homodimerizes (By similarity).","NONE","NONE","UniProt_field","mapped","","P27914","POLG_DEN2T","reviewed","Dengue virus type 2 (strain Tonga/EKB194/1974) (DENV-2)","11067","Genome polyprotein [Cleaved into: Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Non-structural protein 3)]","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","12","1wom_v","1WOM","3","2.778","0.9261","0.907745","Sigma factor sigB regulation protein rsbQ","O07015","NONE","Involved in hydrolase activity","NONE","NONE","UniProt_field","mapped","rsbQ","O07015","RSBQ_BACSU","reviewed","Bacillus subtilis (strain 168)","224308","Sigma factor SigB regulation protein RsbQ","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","13","1pq9_v","1PQ9","3","2.765","0.9218","0.756229","Oxysterols receptor LXR-beta","NR1H2_HUMAN","TRANSCRIPTION REGULATION","Orphan receptor. Binds preferentially to double-stranded oligonucleotide direct repeats having the consensus half-site sequence 5-AGGTCA-3 and 4-nt spacing (DR-4).","NONE","Lipid metabolism disorder;Atherosclerosis","UniProt_field","mapped","NR1H2","P55055","NR1H2_HUMAN","reviewed","Homo sapiens (Human)","9606","Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear receptor NER) (Nuclear receptor subfamily 1 group H member 2) (Ubiquitously-expressed nuclear receptor)","TRUE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","14","1rr2_v","1RR2","3","2.751","0.9169","0.809431","Methylmalonyl-CoA carboxyltransferase 5S subunit","Q70AC7","NONE","Energy production and conversion","NONE","NONE","UniProt_field","mapped","","Q70AC7","5S_PROFR","reviewed","Propionibacterium freudenreichii subsp. shermanii","1752","Methylmalonyl-CoA carboxyltransferase 5S subunit (EC 2.1.3.1) (Transcarboxylase 5S subunit)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","15","1jdz_v","1JDZ","3","2.743","0.9142","0.771883","S-methyl-5-thioadenosine phosphorylase","P50389","NONE","Nucleotide transport and metabolism","NONE","NONE","UniProt_field","mapped","","P50389","PNPH_SACS2","reviewed","Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)","273057","Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (5'-methylthioadenosine phosphorylase I) (MTA phosphorylase I) (MTAPI) (EC 2.4.2.28)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","16","1lwk_v","1LWK","3","2.74","0.9133","0.802759","Lysozyme","P00720","NONE","Involved in lysozyme activity","NONE","For the reduction of the symptoms of muscle weakness and easy fatigability associated with the myasthenic syndrome of Eaton-Lambert. It is not indicated for treating myasthenia gravis.","UniProt_field","mapped","E","P00720","ENLYS_BPT4","reviewed","Enterobacteria phage T4 (Bacteriophage T4)","10665","Endolysin (EC 3.2.1.17) (Lysis protein) (Lysozyme) (Muramidase)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","17","1kkt_v","1KKT","3","2.736","0.912","0.785958","Mannosyl-oligosaccharide alpha-1,2-mannosidase","P31723","NONE","Involved in mannosyl-oligosaccharide 1,2-alpha-mannosidase activity","NONE","NONE","UniProt_field","mapped","MSDC","P31723","MAN12_PENCI","reviewed","Penicillium citrinum","5077","Mannosyl-oligosaccharide alpha-1,2-mannosidase (EC 3.2.1.113) (Man(9)-alpha-mannosidase)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","18","1ukq_v","1UKQ","3","2.735","0.9118","0.768061","Cyclomaltodextrin glucanotransferase","P05618","NONE","Carbohydrate transport and metabolism","NONE","NONE","UniProt_field","mapped","cgt","P05618","CDGT_BACS0","reviewed","Bacillus sp. (strain 1011)","1410","Cyclomaltodextrin glucanotransferase (EC 2.4.1.19) (Cyclodextrin-glycosyltransferase) (CGTase)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","19","1ylv_v","1YLV","3","2.727","0.9091","0.588893","Delta-aminolevulinic acid dehydratase","P05373","NONE","Coenzyme transport and metabolism","NONE","NONE","UniProt_field","mapped","HEM2","P05373","HEM2_YEAST","reviewed","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)","559292","Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","20","1q9b_v","1Q9B","3","2.706","0.9019","0.706344","Pro-hevein","P02877","NONE","N-acetyl-D-glucosamine / N-acetyl-D-neuraminic acid binding lectin. Can inhibit fungal growth.","NONE","NONE","UniProt_field","mapped","HEV1","P02877","HEVE_HEVBR","reviewed","Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)","3981","Pro-hevein (Major hevein) [Cleaved into: Hevein; Win-like protein]","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","21","1tbw_v","1TBW","3","2.704","0.9013","0.723979","Endoplasmin","P41148","NONE","Molecular chaperone that functions in the processing and transport of secreted proteins. When associated with CNPY3, required for proper folding of Toll-like receptors. Functions in endoplasmic reticulum associated degradation (ERAD). Has ATPase activity (By similarity).","NONE","NONE","UniProt_field","mapped","HSP90B1","P41148","ENPL_CANLF","reviewed","Canis lupus familiaris (Dog) (Canis familiaris)","9615","Endoplasmin (EC 3.6.4.-) (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","22","1yr3_v","1YR3","3","2.675","0.8916","0.667869","Xanthosine phosphorylase","P45563","NONE","Nucleotide transport and metabolism","NONE","NONE","UniProt_field","mapped","xapA","P45563","XAPA_ECOLI","reviewed","Escherichia coli (strain K12)","83333","Purine nucleoside phosphorylase 2 (EC 2.4.2.1) (Inosine-guanosine phosphorylase) (Purine nucleoside phosphorylase II) (PNP II) (Xanthosine phosphorylase)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","23","1va4_v","1VA4","3","2.666","0.8886","0.518579","Arylesterase","P22862","NONE","Bifunctional enzyme, capable of both ester hydrolysis and halogenation. Has a low bromoperoxidase activity. Acts on many phenolic esters.","NONE","NONE","UniProt_field","mapped","estF","P22862","ESTE_PSEFL","reviewed","Pseudomonas fluorescens","294","Arylesterase (EC 3.1.1.2) (Aryl-ester hydrolase) (Carboxylic acid perhydrolase) (PFE) (Putative bromoperoxidase) (EC 1.-.-.-)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","24","1lbk_v","1LBK","3","2.66","0.8867","0.334955","Glutathione S-transferase P","GSTP1_HUMAN","TRANSFERASE","Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles.","NONE","NONE","UniProt_field","mapped","GSTP1","P09211","GSTP1_HUMAN","reviewed","Homo sapiens (Human)","9606","Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)","TRUE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","25","1aur_v","1AUR","3","2.652","0.8841","0.513457","Carboxylesterase 2","Q53547","NONE","Hydrolyzes carboxylic ester bonds with relatively broad substrate specificity","NONE","NONE","UniProt_field","mapped","estB","Q53547","EST2_PSEFL","reviewed","Pseudomonas fluorescens","294","Carboxylesterase 2 (EC 3.1.1.1) (Esterase II)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","26","1vec_v","1VEC","3","2.603","0.8677","0.338169","Probable ATP-dependent RNA helicase DDX6","DDX6_HUMAN","RNA BINDING PROTEIN","In the process of mRNA degradation, may play a role in mRNA decapping.","A chromosomal aberration involving DDX6 may be a cause of hematopoietic tumors such as B-cell lymphomas. Translocation t(11;14)(q23;q32).","NONE","UniProt_field","mapped","DDX6","P26196","DDX6_HUMAN","reviewed","Homo sapiens (Human)","9606","Probable ATP-dependent RNA helicase DDX6 (EC 3.6.4.13) (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK)","TRUE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","27","1n2f_v","1N2F","3","2.586","0.8619","0.405139","Organic hydroperoxide resistance protein","Q9HZZ3","NONE","Posttranslational modification, protein turnover, chaperones","NONE","NONE","UniProt_field","mapped","ohr","Q9HZZ3","Q9HZZ3_PSEAE","unreviewed","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)","208964","Organic hydroperoxide resistance protein","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","28","1ujp_v","1UJP","5","4.223","0.8445","6.60957","Tryptophan synthase alpha chain","P16608","NONE","Amino acid transport and metabolism","NONE","NONE","UniProt_field","mapped","trpA","P16608","TRPA_THET2","reviewed","Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)","262724","Tryptophan synthase alpha chain (EC 4.2.1.20)","FALSE","FALSE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","29","1e2i_v","1E2I","3","2.422","0.8075","0.140499","Thymidine kinase","KITH_HHV11","TRANSFERASE","In latent infection, may allow the virus to be reactivated and to grow in cells lacking a high concentration of phosphorylated nucleic acid precursors, such as nerve cells that do not replicate their genome (By similarity).","NONE","Leukemia;Viral infection;Glioma;Cancer;Herpes simplex virus infection;Solid tumor;Varicella zoster virus infection;Liver tumor;HIV infection;Brain tumor;Graft versus host disease;Prostate tumor;Pancreas tumor;Melanoma;Cytomegalovirus infection;Ovary tumor","UniProt_field","mapped","","P03176","KITH_HHV11","","","","demerged","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","30","2afu_v","2AFU","3","2.369","0.7897","-0.101332","Glutaminyl-peptide cyclotransferase","QPCT_HUMAN","TRANSFERASE","Responsible for the biosynthesis of pyroglutamyl peptides. Has a bias against acidic and tryptophan residues adjacent to the N-terminal glutaminyl residue and a lack of importance of chain length after the second residue. Also catalyzes N-terminal pyroglu","NONE","NONE","UniProt_field","mapped","QPCT","Q16769","QPCT_HUMAN","reviewed","Homo sapiens (Human)","9606","Glutaminyl-peptide cyclotransferase (EC 2.3.2.5) (Glutaminyl cyclase) (QC) (sQC) (Glutaminyl-tRNA cyclotransferase) (Glutamyl cyclase) (EC)","TRUE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","31","1xdj_v","1XDJ","3","2.354","0.7847","-0.168725","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","Q9X112","NONE","Cell wall/membrane/envelope biogenesis","NONE","NONE","UniProt_field","mapped","metE","Q9X112","METE_THEMA","reviewed","Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)","243274","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","32","1wbl_v","1WBL","3","2.331","0.7769","-0.504654","Basic agglutinin","O24313","NONE","Involved in sugar binding","NONE","NONE","UniProt_field","mapped","WBAI","O24313","LEC1_PSOTE","reviewed","Psophocarpus tetragonolobus (Winged bean) (Dolichos tetragonolobus)","3891","Basic agglutinin (WBA I)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","33","1jls_v","1JLS","3","2.245","0.7484","-0.565971","Uracil phosphoribosyltransferase","UPP_TOXGO","TRANSFERASE","NONE","NONE","NONE","UniProt_field","mapped","uprt","Q26998","UPP_TOXGO","reviewed","Toxoplasma gondii","5811","Uracil phosphoribosyltransferase (UPRT) (UPRTase) (EC 2.4.2.9) (UMP pyrophosphorylase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","34","1kww_v","1KWW","4","2.984","0.746","1.53036","Mannose-binding protein A","P19999","NONE","Involved in sugar binding","NONE","NONE","UniProt_field","mapped","Mbl1","P19999","MBL1_RAT","reviewed","Rattus norvegicus (Rat)","10116","Mannose-binding protein A (MBP-A) (Mannan-binding protein)","FALSE","FALSE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"3D_submission","260604095716-Conformer3D_COMPOUND_CID_73581.sdf - Targets.csv","35","1h3f_v","1H3F","4","2.979","0.7449","1.45113","Tyrosyl-tRNA synthetase","P83453","NONE","Translation, ribosomal structure and biogenesis","NONE","NONE","UniProt_field","mapped","tyrS","P83453","SYY_THET2","reviewed","Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)","262724","Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)","FALSE","FALSE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
